id,identifier,height,weight,base_experience,order,is_default,flavor_text
653,fennekin,0,0,0,707,1,"Eating a twig fills it with energy,
and its roomy ears give vent to air
hotter than 390 degrees Fahrenheit."
654,braixen,0,0,0,708,1,"It has a twig stuck in its tail. With
friction from its tail fur, it sets the
twig on fire and launches into battle."
655,delphox,0,0,0,709,1,"It gazes into the flame at the tip of
its branch to achieve a focused state,
which allows it to see into the future."
656,froakie,0,0,0,710,1,"It secretes flexible bubbles from its chest and back.
The bubbles reduce the damage it would otherwise
take when attacked."
657,frogadier,0,0,0,711,1,"It can throw bubble-covered pebbles with precise
control, hitting empty cans up to a hundred feet away."
658,greninja,0,0,0,712,1,"It creates throwing stars out of compressed water.
When it spins them and throws them at high speed,
these stars can split metal in two."
659,bunnelby,0,0,0,713,1,"They use their large ears to dig burrows.
They will dig the whole night through."
660,diggersby,0,0,0,714,1,"With their powerful ears, they can heft
boulders of a ton or more with ease.
They can be a big help at construction sites."
661,fletchling,0,0,0,715,1,"These friendly Pokémon send signals
to one another with beautiful chirps
and tail-feather movements."
662,fletchinder,0,0,0,716,1,"From its beak, it expels embers that set
the tall grass on fire. Then it pounces on
the bewildered prey that pop out of the grass."
663,talonflame,0,0,0,717,1,"In the fever of an exciting battle, it
showers embers from the gaps between
 its feathers and takes to the air."
664,scatterbug,0,0,0,718,1,"When under attack from bird Pokémon,
it spews a poisonous black powder
that causes paralysis on contact."
665,spewpa,0,0,0,719,1,"It lives hidden within thicket shadows.
When predators attack, it quickly bristles the fur
covering its body in an effort to threaten them."
666,vivillon,0,0,0,720,1,"Vivillon with many different patterns are
found all over the world. These patterns
are affected by the climate of their habitat."
667,litleo,0,0,0,721,1,"The stronger the opponent it faces,
the more heat surges from its mane
and the more power flows through its body."
668,pyroar,0,0,0,722,1,"The male with the largest mane of fire
 is the leader of the pride."
669,flabebe,0,0,0,723,1,"It draws out and controls the hidden power
of flowers. The flower Flabébé holds
is most likely part of its body."
670,floette,0,0,0,724,1,"It flutters around fields of flowers and cares for
flowers that are starting to wilt. It draws
out the hidden power of flowers to battle."
671,florges,0,0,0,725,1,"It claims exquisite flower gardens as its territory,
and it obtains power from basking in the energy
emitted by flowering plants."
672,skiddo,0,0,0,726,1,"Thought to be one of the first Pokémon to live in
harmony with humans, it has a placid disposition."
673,gogoat,0,0,0,727,1,"It can tell how its Trainer is feeling by
subtle shifts in the grip on its horns.
This empathic sense lets them run as if one being."
674,pancham,0,0,0,728,1,"It does its best to be taken seriously by its enemies,
but its glare is not sufficiently intimidating.
Chewing on a leaf is its trademark."
675,pangoro,0,0,0,729,1,"Although it posses a violent temperament,
it won’t put up with bullying. It uses the leaf in
its mouth to sense the movements of its enemies."
676,furfrou,0,0,0,730,1,"Trimming its fluffy fur not only makes
it more elegant but also increases the
swiftness of its movements."
677,espurr,0,0,0,731,1,"The organ that emits its intense psychic power is
sheltered by its ears to keep power from leaking out."
678,meowstic-male,0,0,0,732,1,"When in danger, it raises its ears and
releases enough psychic power to
grind a 10-ton truck into dust."
679,honedge,0,0,0,734,1,"Apparently this Pokémon is born when a
departed spirit inhabits a sword. It attaches itself
to people and drinks their life force."
680,doublade,0,0,0,735,1,"When Honedge evolves, it divides into two swords,
which cooperate via telepathy to coordinate attacks
and slash their enemies to ribbons."
681,aegislash-shield,0,0,0,736,1,"Generations of kings were attended by these
Pokémon, which used their spectral power to
manipulate and control people and Pokémon."
682,spritzee,0,0,0,738,1,"It emits a scent that enraptures those
who smell it. This fragance changes
depending on what it has eaten."
683,aromatisse,0,0,0,739,1,"It devises various scents, pleasant and unpleasant,
and emits scents that its enemies dislike in order
to gain an edge in battle."
684,swirlix,0,0,0,740,1,"To entangle its opponents in battle, it extrudes
white threads as sweet and sticky as cotton candy."
685,slurpuff,0,0,0,741,1,"It can distinguish the faintest of scents.
It puts its sensitive sense of smell to use
by helping pastry chefs in their work."
686,inkay,0,0,0,742,1,"Opponents who stare at the flashing of the
light-emitting spots on its body become
dazed and lose their will to fight."
687,malamar,0,0,0,743,1,"It wields the most compelling hypnotic powers
of any Pokémon, and it forces others to do
whatever it wants."
688,binacle,0,0,0,744,1,"Two Binacle live together on one rock.
When they fight, one of them will move
to a different rock."
689,barbaracle,0,0,0,745,1,"When they evolve, two Binacle multiply into seven.
They fight with the power of seven Binacle."
690,skrelp,0,0,0,746,1,"Camouflaged as rotten kelp, they spray
liquid poison on prey that approaches
unawares and then finish it off."
691,dragalge,0,0,0,747,1,"Their poison is strong enough to eat through
the hull of a tanker, and they spit it indiscriminately
at anything that enters their territory."
692,clauncher,0,0,0,748,1,"They knock down flying prey by firing
compressed water from their massive
claws like shooting a pistol."
693,clawitzer,0,0,0,749,1,"Their enormous claws launch cannonballs of
water powerful enough to pierce tanker hulls."
694,helioptile,0,0,0,750,1,"They make their home in deserts. They can
generate their energy from basking in the sun,
so eating food is not a requirement.
"
695,heliolisk,0,0,0,751,1,They flare their frills and generate energy. A single Heliolisk can generate sufficient electricity to power a skyscraper.
696,tyrunt,0,0,0,752,1,"This Pokémon was restored from a fossil.
If something happens that it doesn’t like,
it throws a tantrum and runs wild."
697,tyrantrum,0,0,0,753,1,"Thanks to its gargantuan jaws, which could shred
thick metal plates as if they were paper, it was
invincible in the ancient world it once inhabited."
698,amaura,0,0,0,754,1,"This ancient Pokémon was restored
from part of its body that had been
frozen in ice for over 100 million years."
699,aurorus,0,0,0,755,1,"The diamond-shaped crystals on its body
expel air as cold as -240 degrees Fahrenheit,
surrounding its enemies and encasing them in ice."
700,sylveon,0,0,0,175,1,"It sends a soothing aura from its ribbonlike feelers to
calm fights."
701,hawlucha,0,0,0,756,1,"Although its body is small, its proficient
fighting skills enable it to keep up with
big bruisers like Machamp and Hariyama."
702,dedenne,0,0,0,757,1,"Its whiskers serve as antennas. By sending and
receiving electrical waves, it can communicate
with others over vast distances."
703,carbink,0,0,0,758,1,"Born from the temperatures and pressures
deep underground, it fires beams from the
stone in its head."
704,goomy,0,0,0,759,1,"The weakest Dragon-Type Pokémon,
it lives in damp, shady places, so its
body doesn’t dry out."
705,sliggoo,0,0,0,760,1,"It drives away opponents by excreting a
sticky liquid that can dissolve anything.
Its eyes devolved, so it can’t see anything.
"
706,goodra,0,0,0,761,1,"This very friendly Dragon-type Pokémon will hug its
beloved trainer, leaving that trainer covered in sticky
slime"
707,klefki,0,0,0,762,1,"These key collectors threaten any attackers
by fiercely jingling their keys at them."
708,phantump,0,0,0,763,1,"These Pokémon are created when
spirits possess rotten tree stumps.
They prefer to live in abandoned forests."
709,trevenant,0,0,0,764,1,"It can control trees at will. It will trap people
who harm the forest, so they can never leave."
710,pumpkaboo-average,0,0,0,765,1,"The pumpkin body is inhabited by a spirit
trapped in this world. As the sun sets,
it becomes restless and active."
711,gourgeist-average,0,0,0,769,1,"Singing in eerie voices, they wander
town streets on the night of the new moon.
Anyone who hears their song is cursed."
712,bergmite,0,0,0,773,1,"It blocks opponents’ attacks with the
ice that shields its body. it uses cold air
to repair any cracks with new ice."
713,avalugg,0,0,0,774,1,"Its ice-covered body is as hard as steel.
Its cumbersome frame crushes anything that
stands in its way."
714,noibat,0,0,0,775,1,"They live in pitch-black caves. Their enormous ears
can emit ultrasonic waves of 200,000 hertz."
715,noivern,0,0,0,776,1,"They fly around on moonless nights
and attack careless prey. Nothing can
beat them in a battle in the dark."
716,xerneas,0,0,0,777,1,"Legends say it can share eternal life.
It slept for a thousand years in the form
of a tree before its revival."
717,yveltal,0,0,0,778,1,"When this legendary Pokémon’s wings and
tail feathers spread wide and glow red,
it absorbs the life force of living creatures."
718,zygarde,0,0,0,779,1,"When the Kalos region’s ecosystem falls into
disarray, it appears and reveals its secret power.
"
